img_id,img_url,img_path
e9b492e3-e1f8-4d7d-aab3-00ea44220c84,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_58.47.3.jpg,images\1617874795_58.47.3.jpg
d2cb7abe-21e4-4a42-9a75-9203f7600ec8,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_59.12.jpg,images\1617874795_59.12.jpg
cc6a89cb-d7c1-40e0-a4b9-b8a6e1c408ae,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_61.66.jpg,images\1617874795_61.66.jpg
8c2ac24b-421b-4bc0-8399-e761993ba701,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_62.2879.jpg,images\1617874795_62.2879.jpg
8abef30e-66a0-4661-810e-23ab7230bf9e,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_62.2936%20edited.jpg,images\1617874795_62.2936%20edited.jpg
56750de6-68a1-4382-86b3-04ed1af669ea,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_63.526.jpg,images\1617874795_63.526.jpg
0a0aa29b-0fb2-41f9-94cd-f8dd924e2935,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_75.672%20edited.jpg,images\1617874795_75.672%20edited.jpg
577926eb-2b15-441d-bc2a-250d7bd0c8b2,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_96.216%20edited.jpg,images\1617874795_96.216%20edited.jpg
7dccd436-c3dc-402b-9e46-ce4266b09dd9,https://nationalmuseumindia.gov.in/uploads/collections/1617874795_96.338%20edited.jpg,images\1617874795_96.338%20edited.jpg
81ad42a8-1074-4988-91e4-56fda9d014bb,https://nationalmuseumindia.gov.in/uploads/collections/1618220130_DSC_6316.jpg,images\1618220130_DSC_6316.jpg
473040c3-b643-41ee-a892-c01e49ef489c,https://nationalmuseumindia.gov.in/uploads/collections/1618219818_48.28.jpg,images\1618219818_48.28.jpg
a4f84b68-35d8-4328-bf79-9ee3e29add84,https://nationalmuseumindia.gov.in/uploads/collections/1618219818_60.1618-5.jpg,images\1618219818_60.1618-5.jpg
8b0df680-3a56-4617-aa2b-74424368ad6a,https://nationalmuseumindia.gov.in/uploads/collections/1618219818_61.1489.jpg,images\1618219818_61.1489.jpg
c28c3a21-d17d-4efb-94d2-88550778ba09,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_62.103-min.JPG,images\1618219819_62.103-min.JPG
b3e97712-83fc-449f-9393-0925b7af58f2,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_62.1757.jpg,images\1618219819_62.1757.jpg
d4889f20-0b04-45f7-aee1-356604aaed77,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_72.251%20%28a%29-min.jpg,images\1618219819_72.251%20%28a%29-min.jpg
